central perk joey and chandler are sitting and talking	y know what it seems like all of the sudden so much has happened
y know what it seems like all of the sudden so much has happened	i know ross is getting married
i know ross is getting married	phoebe is making people
phoebe is making people	everybody s doing stuff
everybody s doing stuff	and we just sit here i mean if i die the only way people would even know i was here would be by the ass print on this chair look we have to do something okay something huge
and we just sit here i mean if i die the only way people would even know i was here would be by the ass print on this chair look we have to do something okay something huge	we could climb mt everest
we could climb mt everest	no no not something stupid something huge
no no not something stupid something huge	no no no no no i saw an ad for this video people climb that thing everyday we could totally do that
no no no no no i saw an ad for this video people climb that thing everyday we could totally do that	why not i mean it s just it s just climbing it s just it s just steep
why not i mean it s just it s just climbing it s just it s just steep	yeah
yeah	we re going to everest okay it would be nice to leave an ass print on everest
we re going to everest okay it would be nice to leave an ass print on everest	hey
hey	hey
hey	what what s up
what what s up	we re gonna climb mt everest
we re gonna climb mt everest	yeah baby
yeah baby	really i looked into that yeah but i mean it costs like and y know you can die and you would die
really i looked into that yeah but i mean it costs like and y know you can die and you would die	yeah well
yeah well	we could get that everest video though
we could get that everest video though	yeah we could do that without y know risking our lives at all
yeah we could do that without y know risking our lives at all	and while we re down at the video store you know what else we could rent die hard oh y know what i just remembered that everest thing is only available through mail order
and while we re down at the video store you know what else we could rent die hard oh y know what i just remembered that everest thing is only available through mail order	oh well
oh well	so you guys ll stay here and hang out with me
so you guys ll stay here and hang out with me	yeeeeahhhh
yeeeeahhhh	yeah yeah
yeah yeah	but i ll tell you something one of these days we re get off of our buts and rent die hard again
but i ll tell you something one of these days we re get off of our buts and rent die hard again	yeah we are
yeah we are	credits
credits	ross s apartment he and emily are addressing their invitations
ross s apartment he and emily are addressing their invitations	so what did he decide does your uncle nathan get an invite or not
so what did he decide does your uncle nathan get an invite or not	ohh god nobody likes him and he s so cheap he d never fly to london in a million years yeah invite him hey did i do these neat enough
ohh god nobody likes him and he s so cheap he d never fly to london in a million years yeah invite him hey did i do these neat enough	yeah they re fine
yeah they re fine	yeah
yeah	if anyone asks we ll just say ben addressed them oh so you invited rachel then
if anyone asks we ll just say ben addressed them oh so you invited rachel then	sure why not
sure why not	really
really	yeah
yeah	i don t think i d be comfortable with any of my old lovers there
i don t think i d be comfortable with any of my old lovers there	wait wait wait do you do you think maybe we shouldn t invite her
wait wait wait do you do you think maybe we shouldn t invite her	oh no no y know i absolutely adore rachel it s just that well it might be a awkward for you but it s absolutely your decision more tea
oh no no y know i absolutely adore rachel it s just that well it might be a awkward for you but it s absolutely your decision more tea	yeah sure
yeah sure	earl grey
earl grey	huh yeah fine invite whoever you want
huh yeah fine invite whoever you want	with that we start off on a series of clips from the entire history of ross and rachel from ross s point of view the first clip is from the pilot
with that we start off on a series of clips from the entire history of ross and rachel from ross s point of view the first clip is from the pilot	central perk ross is complaining about carol
central perk ross is complaining about carol	i don t want to be single okay i just i just i just wanna be married again
and i just want a million dollars	rachel
rachel	oh god monica hi i just went to your building and you weren t there and then this guy with a big hammer said you might be here and you are you are
oh god monica hi i just went to your building and you weren t there and then this guy with a big hammer said you might be here and you are you are	to later
to later	okay everybody this is rachel another lincoln high survivor this is everybody this is chandler and phoebe and joey and you remember my brother ross
okay everybody this is rachel another lincoln high survivor this is everybody this is chandler and phoebe and joey and you remember my brother ross	hi sure
hi sure	hi
to later	monica and rachel s ross and rachel are finishing up some cookies
monica and rachel s ross and rachel are finishing up some cookies	you know you probably didn t know this but back in high school i had a um major crush on you
you know you probably didn t know this but back in high school i had a um major crush on you	i knew
i knew	you did oh i always figured you just thought i was monica s geeky older brother
you did oh i always figured you just thought i was monica s geeky older brother	i did
i did	oh listen do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if i asked you out sometime maybe
oh listen do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if i asked you out sometime maybe	yeah maybe
yeah maybe	okay okay maybe i will
okay okay maybe i will	next clip is from the one with the blackout
next clip is from the one with the blackout	monica and rachel s ross and rachel are talking about passion
monica and rachel s ross and rachel are talking about passion	see i see big passion in your future
see i see big passion in your future	really
really	i do
i do	oh ross you re so great she playfully rubs his head and gets up
oh ross you re so great she playfully rubs his head and gets up	gets up pleased with himself and starts to walk past joey
gets up pleased with himself and starts to walk past joey	it s never gonna happen
it s never gonna happen	to later
to later	monica and rachel s balcony ross is about to be attacked by paulo s cat
monica and rachel s balcony ross is about to be attacked by paulo s cat	hey i have a question well actually it s not so much a question as more of a general wondering ment
hey i have a question well actually it s not so much a question as more of a general wondering ment	okay
okay	okay umm for a while now i ve been wanting to um
okay umm for a while now i ve been wanting to um	ohhh looking at something behind ross
ohhh looking at something behind ross	yes yes that s right
yes yes that s right	oh look at the little cat a small kitten is on the roof behind ross look at it
oh look at the little cat a small kitten is on the roof behind ross look at it	what the cat jumps on his shoulders ow
what the cat jumps on his shoulders ow	to inside monica joey and phoebe are singing while outside ross and rachel are trying to get the cat off of ross shoulder
to inside monica joey and phoebe are singing while outside ross and rachel are trying to get the cat off of ross shoulder	joey and phoebe singing i m on top of the world looking down on creation and the only explanation i can find
joey and phoebe singing i m on top of the world looking down on creation and the only explanation i can find	next clip is from the one with the east german laundry detergent
next clip is from the one with the east german laundry detergent	the laundromat rachel is fighting with that old annoying woman for a cart
the laundromat rachel is fighting with that old annoying woman for a cart	all right listen missy if you want this cart you re gonna have to take me with it
yes did you see that	you were incredible brand new woman ladies and gentlemen
you were incredible brand new woman ladies and gentlemen	i could not have done this without you
ok um uh more clothes in the dryer i m fine i m fine	next clip is from the one where ross finds out
next clip is from the one where ross finds out	central perk i m sure you ve guessed it s the famous fight scene between ross and rachel
central perk i m sure you ve guessed it s the famous fight scene between ross and rachel	you had no right to tell me you ever had feelings for me
you had no right to tell me you ever had feelings for me	what
what	i was doing great with julie before i found out about you
i was doing great with julie before i found out about you	hey i was doin great before i found out about you you think it s easy for me to see you with julie
hey i was doin great before i found out about you you think it s easy for me to see you with julie	to later
to later	the point is i i don t need this right now ok it it s too late i m with somebody else i m happy this ship has sailed
the point is i i don t need this right now ok it it s too late i m with somebody else i m happy this ship has sailed	to later
to later	alright fine you go ahead and you do that alright ross
alright fine you go ahead and you do that alright ross	fine
fine	cause i don t need your stupid ship
cause i don t need your stupid ship	good
good	good
good	to later
next clip is the second famous fight in the one where ross and rachel take a break	monica and rachel s ross and rachel are arguing
monica and rachel s ross and rachel are arguing	ross do you realise this is the first time in my life i m doing something i actually care about this is the first time in my life i m doing something that i m actually good at i mean if you don t get that
ross do you realise this is the first time in my life i m doing something i actually care about this is the first time in my life i m doing something that i m actually good at i mean if you don t get that	no hey i get that okay i get that big time and i m happy for ya but i m tired of having a relationship with your answering machine okay i don t know what to do anymore
no hey i get that okay i get that big time and i m happy for ya but i m tired of having a relationship with your answering machine okay i don t know what to do anymore	well neither do i
well neither do i	is this about mark
is this about mark	oh my god
oh my god	okay it s not it s not
okay it s not it s not	oh my god i cannot keep having this same fight over and over again ross no you re you re you re making this too hard
oh my god i cannot keep having this same fight over and over again ross no you re you re you re making this too hard	oh i m i m making this too hard okay what do you want me to do
oh i m i m making this too hard okay what do you want me to do	i don t know i don t know urrrgh look maybe we should take a break
i don t know i don t know urrrgh look maybe we should take a break	okay okay fine you re right let s ah let s take a break
okay okay fine you re right let s ah let s take a break	no a break from us
next clip is from the one the morning after	ross s apartment ross is hurrying chloe out the door
ross s apartment ross is hurrying chloe out the door	do i know why we re rushing
do i know why we re rushing	yeah y know the ah the girlfriend i told you about last night well it turns out she ah she wants to get back together with me oh i found it
yeah y know the ah the girlfriend i told you about last night well it turns out she ah she wants to get back together with me oh i found it	that s so great for you guys
that s so great for you guys	yeah
yeah	to later
to later	good luck with your girlfriend
good luck with your girlfriend	oh thank you rachel
oh thank you rachel	hi ohhh you got my message
hi ohhh you got my message	yeah oh hey you are right on time
yeah oh hey you are right on time	so what do you say can i be your girlfriend again
so what do you say can i be your girlfriend again	yes you can very much
to later	monica and rachel s rachel has just found out about chloe and is screaming at ross the rest of the gang is trapped in monica s bedroom
